Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19962,18,20,0
2,19945,30,23,2
3,19932,32,29,7
4,19916,40,32,12
5,19890,54,37,19
6,19864,65,45,26
7,19830,82,60,28
8,19798,93,72,37
9,19754,110,89,47
10,19704,126,111,59
11,19614,182,133,71
12,19524,217,171,88
13,19421,255,217,107
14,19278,324,264,134
15,19095,415,324,166
16,18903,494,406,197
17,18641,604,505,250
18,18321,769,599,311
19,17951,939,720,390
20,17510,1105,897,488
21,16940,1352,1102,606
22,16306,1609,1337,748
23,15554,1915,1605,926
24,14662,2265,1922,1151
25,13725,2549,2314,1412
26,12687,2852,2755,1706
27,11543,3204,3162,2091
28,10286,3572,3594,2548
29,9076,3780,4127,3017
30,7872,3926,4649,3553
31,6701,3971,5192,4136
32,5544,3988,5628,4840
33,4543,3891,5988,5578
34,3702,3595,6330,6373
35,2996,3259,6565,7180
36,2397,2984,6618,8001
37,1928,2649,6587,8836
38,1558,2263,6505,9674
39,1265,1948,6268,10519
40,1055,1660,5954,11331
41,894,1369,5644,12093
42,772,1115,5247,12866
43,670,896,4926,13508
44,585,753,4509,14153
45,549,622,4141,14688
46,526,537,3743,15194
47,502,463,3371,15664
48,503,401,3045,16051
49,504,334,2753,16409
50,505,270,2490,16735
51,508,233,2227,17032
52,527,196,1998,17279
53,560,165,1767,17508
54,582,143,1557,17718
55,610,132,1391,17867
56,647,124,1227,18002
57,681,110,1083,18126
58,725,96,962,18217
59,762,93,859,18286
60,814,90,754,18342
61,870,79,695,18356
62,927,70,623,18380
63,960,72,570,18398
64,1013,60,507,18420
65,1057,61,458,18424
66,1103,61,417,18419
67,1161,47,375,18417
68,1206,51,331,18412
69,1258,55,303,18384
70,1300,53,272,18375
71,1340,50,252,18358
72,1379,47,228,18346
73,1425,49,201,18325
74,1475,47,195,18283
75,1550,44,186,18220
76,1596,45,170,18189
77,1653,38,162,18147
78,1709,35,152,18104
79,1762,36,144,18058
80,1815,28,141,18016
81,1876,25,130,17969
82,1928,32,116,17924
83,1992,39,99,17870
84,2038,34,102,17826
85,2093,28,99,17780
86,2137,26,96,17741
87,2183,24,86,17707
88,2260,17,83,17640
89,2299,21,72,17608
90,2364,19,72,17545
91,2413,13,72,17502
92,2457,17,65,17461
93,2511,21,56,17412
94,2576,20,51,17353
95,2632,17,51,17300
96,2685,19,53,17243
97,2736,20,56,17188
98,2786,20,47,17147
99,2842,24,38,17096
100,2877,20,41,17062
101,2921,17,44,17018
102,2978,11,48,16963
103,3013,18,45,16924
104,3062,20,44,16874
105,3107,14,47,16832
106,3149,16,43,16792
107,3203,20,39,16738
108,3266,15,44,16675
109,3315,16,41,16628
110,3369,10,44,16577
111,3416,11,40,16533
112,3464,10,41,16485
113,3522,11,37,16430
114,3565,11,33,16391
115,3603,14,32,16351
116,3645,11,34,16310
117,3689,11,35,16265
118,3723,13,32,16232
119,3766,15,29,16190
120,3822,16,26,16136
121,3856,19,24,16101
122,3908,16,26,16050
123,3964,15,21,16000
